NB: I medicinali carenti, per i quali il Titolare AIC non abbia provveduto a comunicare la data effettiva di fine carenza, continueranno ad essere presenti nella “Lista dei farmaci temporaneamente carenti”, anche oltre la “data di fine presunta” inizialmente comunicata e indicata nella presente lista;;;;;;;;;;;;
Elenco dei farmaci carenti aggiornato al 06/11/2025;;;;;;;;;;;;
Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilità;Codice ATC
CARDIORAL;039984024;ACIDO ACETILSALICILICO;"""75 MG CAPSULE MOLLI"" 30 CAPSULE IN FLACONE DI PLASTICA";IBSA FARMACEUTICI ITALIA S.R.L.;01/12/2023;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;B01AC06
CARDIRENE;028717015;LISINA ACETILSALICILATO;"""160 MG POLVERE PER SOLUZIONE ORALE""30 BUSTINE";SANOFI S.R.L.;11/08/2025;;No;Problemi produttivi: distribuzione contingentata (carenza relativa solo al canale retail);Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B01AC06
CARDIRENE;028717041;LISINA ACETILSALICILATO;"""75 MG POLVERE PER SOLUZIONE ORALE"" 30 BUSTINE";SANOFI S.R.L.;11/08/2025;;No;Problemi produttivi: distribuzione contingentata (carenza relativa solo al canale retail);Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B01AC06
CARELIMUS;043815048;TACROLIMUS;"""0,1%  UNGUENTO"" 1 TUBO IN AL/LDPE DA 10 G";DIFA COOPER S.P.A.;15/08/2023;31/05/2024;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;D11AH01
CARMUSTINA MEDAC;046920017;CARMUSTINA;"100 MG -POLVERE E SOLVENTE PER SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - POVERE:FLACONCINO  100 MG (VETRO); SOLVENTE: FLACONCINO 3 ML (VETRO) - 1 FLACONCINO + 1 FLACONCINO";MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH;09/06/2025;15/12/2025;Sì;Elevata richiesta/problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01AD01
CARTEABAK;037506019;CARTEOLOLO CLORIDRATO;"""1%COLLIRIO, SOLUZIONE"" 1 FLACONE PE DA 5 ML";LABORATOIRES THEA;18/11/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;S01ED05
CARTEABAK;037506033;CARTEOLOLO CLORIDRATO;"""2%COLLIRIO, SOLUZIONE"" 1 FLACONE PE DA 5 ML";LABORATOIRES THEA;20/01/2025;;Sì;Ridotta disponibilità: distribuzione contingentata;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;S01ED05
CARTEOL;026057024;CARTEOLOLO CLORIDRATO;"""2% COLLIRIO, SOLUZIONE"" FLACONE 5 ML";SIFI S.P.A.;18/07/2025;;Sì;Elevata richiesta: distribuzione contingentata;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;S01ED05
CARVEDILOLO AUROBINDO;042234017;CARVEDILOLO;"""6,25 MG COMPRESSE RIVESTITE CON FILM"" 28 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;02/04/2026;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C07AG02
CARVEDILOLO AUROBINDO;042234068;CARVEDILOLO;"""25 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;02/04/2026;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C07AG02
CARVEDILOLO RATIOPHARM.;036779080;CARVEDILOLO;"""6.25 MG COMPRESSE"" 28 COMPRESSE IN BLISTER  BIANCO OPACO PVC/PVDC/AL";TEVA ITALIA S.R.L.;22/08/2025;10/10/2025;Sì;Problemi produttivi (carenza relativa solo al canale retail);Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C07AG02
CARVEDILOLO SANDOZ;036454027;CARVEDILOLO;""" 6,25 MG COMPRESSE "" 28 COMPRESSE IN BLISTER OPA/AL/ PVC/ AL";SANDOZ S.P.A.;18/11/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C07AG02
CASENJUNIOR;043218027;MACROGOL 4000;"""4G POLVERE PER SOLUZIONE ORALE IN BUSTINA "" 20 BUSTINE IN PL/AL/PE";CASEN RECORDATI SL;31/03/2022;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A06AD15
CASPOFUNGIN MYLAN;044784015;CASPOFUNGIN;"""50 MG POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO";MYLAN S.P.A.;11/07/2025;;Sì;Elevata richiesta/problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J02AX04
CASPOFUNGIN SANDOZ GMBH;044348023;CASPOFUNGIN;"""70 MG POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO";SANDOZ GMBH;11/07/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J02AX04
CASPOFUNGIN SANDOZ GMBH;044348011;CASPOFUNGIN;"""50 MG POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO";SANDOZ GMBH;10/07/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J02AX04
CASPOFUNGIN TILLOMED;049634025;CASPOFUNGIN;"""70 MG POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO";TILLOMED ITALIA SRL;01/09/2025;;Sì;Problemi produttivi;Rilasciata determinazione per l’importazione al titolare A.I.C.;Disponibili confezioni importate dal titolare dal 30.09.2025;A CARICO DEL SSN AMBITO OSPED.;J02AX04
CASPOFUNGIN TILLOMED;049634013;CASPOFUNGIN;"""50 MG POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO";TILLOMED ITALIA SRL;10/10/2025;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J02AX04
CAVERJECT;029561141;ALPROSTADIL;"""20 MCG, POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE"" 2 CARTUCCE A DOPPIA CAMERA";PFIZER ITALIA S.R.L.;14/06/2023;;No;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G04BE01
CAVERJECT;029561139;ALPROSTADIL;"""10 MCG, POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE"" 2 CARTUCCE A DOPPIA CAMERA";PFIZER ITALIA S.R.L.;02/06/2023;;No;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G04BE01
CEBION;003366111;ACIDO ASCORBICO;"""1 G GRANULATO"" 10 BUSTINE GUSTO ARANCIA";PROCTER & GAMBLE S.R.L.;01/06/2013;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A11GA01
CEBION;003366200;ACIDO ASCORBICO;"""1 G COMPRESSE EFFERVESCENTI"" 10 COMPRESSE EFFERVESCENTI SENZA ZUCCHERO";PROCTER & GAMBLE S.R.L.;11/11/2015;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A11GA01
CEBION;003366174;ACIDO ASCORBICO;"""1 G COMPRESSE EFFERVESCENTI"" 10 COMPRESSE EFFERVESCENTI AL LIMONE";PROCTER & GAMBLE S.R.L.;11/11/2015;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A11GA01
CEBION;003366162;ACIDO ASCORBICO;"""1 G COMPRESSE EFFERVESCENTI"" 10 COMPRESSE EFFERVESCENTI ALL'ARANCIA";PROCTER & GAMBLE S.R.L.;11/11/2015;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A11GA01
CEFACLOR EG;034610042;CEFACLORO;"""750 MG COMPRESSE A RILASCIO MODIFICATO"" 6 COMPRESSE";EG S.P.A.;08/11/2024;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DC04
CEFAZIL;023916051;CEFAZOLINA SODICA;"""1 G/4 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 1 FLACONE POLVERE + 1 FIALA SOLVENTE DA 4 ML";ITALFARMACO S.P.A.;06/11/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DB04
CEFAZOLINA K24 PHARMACEUTICALS;033444047;CEFAZOLINA SODICA;"""1 G/4 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 1 FLACONCINO POLVERE + 1 FIALA SOLVENTE 4 ML";K24 PHARMACEUTICALS S.R.L.;20/07/2017;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DB04
CEFAZOLINA TEVA;023853070;CEFAZOLINA ACIDA;"""1  g  polvere  per  soluzione  iniettabile/per  infusione"" 1 FLACONCINO DI POLVERE";TEVA ITALIA S.R.L.;15/07/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;C NON NEGOZIATA;J01DB04
CEFIXIMA EG;041391083;CEFIXIMA;"""100 MG/5ML POLVERE PER SOSPENSIONE ORALE"" 1 FLACONE DA 100 ML";EG S.P.A.;01/06/2019;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD08
CEFOTAXIMA ABC;035375029;CEFOTAXIMA SODICA;""" 1 G/4 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONCINO + 1 FIALA SOLVENTE 4 ML";ABC FARMACEUTICI S.P.A.;01/05/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD01
CEFPODOXIMA MYLAN;041859190;CEFPODOXIMA;"""100 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER AL/PVC/PVDC";MYLAN S.P.A.;14/03/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD13
CEFPODOXIMA MYLAN;041859087;CEFPODOXIMA;"""200 MG COMPRESSE RIVESTITE CON FILM"" 6 COMPRESSE IN BLISTER AL/PVC/PVDC";MYLAN S.P.A.;17/05/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD13
CEFPODOXIMA SANDOZ;039962194;CEFPODOXIME PROXETIL;"""100 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER AL/PVC/PVDC";SANDOZ S.P.A.;17/01/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD13
CEFPODOXIMA SANDOZ;039962117;CEFPODOXIME PROXETIL;"""200 MG COMPRESSE RIVESTITE CON FILM"" 6 COMPRESSE IN BLISTER AL/PVC/PVDC";SANDOZ S.P.A.;17/01/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD13
CEFRAG;036101020;CEFTRIAXONE DISODICO;""" 1 G/3,5 ML POLVERE  E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONE POLVERE + 1 FIALA SOLVENTE 3,5 ML";AESCULAPIUS FARMACEUTICI SRL;15/04/2023;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD04
CEFTAZIDIMA BIOPHARMA;036012019;CEFTAZIDIMA PENTAIDRATO;"""250 MG/ 1 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONE POLVERE + FIALA SOLVENTE 1 ML";BIOPHARMA S.R.L.;25/11/2014;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD02
CEFTAZIDIMA BIOPHARMA;036012021;CEFTAZIDIMA PENTAIDRATO;"""500 MG/ 1,5 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONE POLVERE + FIALA SOLVENTE 1,5 ML";BIOPHARMA S.R.L.;25/11/2014;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD02
CEFTAZIDIMA BIOPHARMA;036012033;CEFTAZIDIMA PENTAIDRATO;"""1 G/3 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONCINO POLVERE + FIALA SOLVENTE DA 3 ML";BIOPHARMA S.R.L.;25/11/2014;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD02
CEFTAZIDIMA EG STADA;036566038;CEFTAZIDIMA;""" 1 G/ 3 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONCINO POLVERE +1  FIALA SOLVENTE 3 ML";FG S.R.L.;31/03/2024;;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD02
CEFTAZIDIMA KABI;036591030;CEFTAZIDIMA PENTAIDRATO;""" 1 G/ 3 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONCINO + 1 FIALA SOLVENTE 3 ML";FRESENIUS KABI ITALIA S.R.L.;22/07/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD02
CEFTAZIDIMA KABI;036591055;CEFTAZIDIMA PENTAIDRATO;""" 2 G POLVERE PER SOLUZIONE PER INFUSIONE "" 1 FLACONCINO";FRESENIUS KABI ITALIA S.R.L.;01/11/2024;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DD02
CEFTAZIDIMA KABI;036591042;CEFTAZIDIMA PENTAIDRATO;""" 1 G/ 10 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO ENDOVENOSO "" 1 FLACONCINO + 1 FIALA SOLVENTE 10 ML";FRESENIUS KABI ITALIA S.R.L.;30/09/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DD02
CEFTRIAXONE ACCORD;039216027;CEFTRIAXONE DISODICO;""" 1 G/3,5 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONE POLVERE + 1 FIALA SOLVENTE DA 3,5 ML";ACCORD HEALTHCARE, S.L.U.;01/09/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD04
CEFTRIAXONE BIOPHARMA;035814045;CEFTRIAXONE DISODICO;"""2 G POLVERE PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO";BIOPHARMA S.R.L.;24/02/2016;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DD04
CEFTRIAXONE BIOPHARMA;035814021;CEFTRIAXONE DISODICO;"""1 G/3,5 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 1 FLACONCINO + 1 FIALA SOLVENTE 3,5 ML";BIOPHARMA S.R.L.;31/01/2024;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD04
CEFTRIAXONE BIOPHARMA;035814033;CEFTRIAXONE DISODICO;""" 1 G/10 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE "" 1 FLACONCINO + 1 FIALA SOLVENTE 10 ML";BIOPHARMA S.R.L.;03/02/2026;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DD04
CEFTRIAXONE KABI;035906039;CEFTRIAXONE DISODICO;"""1 G/ 3,5 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONE + 1 FIALA SOLVENTE 3,5 ML";FRESENIUS KABI ITALIA S.R.L.;21/02/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD04
CEFTRIAXONE KABI;035906054;CEFTRIAXONE DISODICO;""" 2 G POLVERE PER SOLUZIONE PER INFUSIONE "" 1 FLACONE";FRESENIUS KABI ITALIA S.R.L.;30/04/2019;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DD04
CEFTRIAXONE KABI;035906041;CEFTRIAXONE DISODICO;"""1 G/ 10 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO ENDOVENOSO"" 1 FLACONE + 1 FIALA SOLVENTE 10 ML";FRESENIUS KABI ITALIA S.R.L.;05/09/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DD04
CEFTRIAXONE MYLAN GENERICS;035878053;CEFTRIAXONE DISODICO;"""2 G  POLVERE PER SOLUZIONE PER INFUSIONE"" 1 FLACONE";MYLAN S.P.A.;25/07/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DD04
CEFTRIAXONE MYLAN GENERICS;035878040;CEFTRIAXONE DISODICO;"""1 G POLVERE PER SOLUZIONE INIETTABILE PER USO ENDOVENOSO "" 1 FLACONE DI POLVERE";MYLAN S.P.A.;29/07/2014;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DD04
CEFTRIAXONE MYLAN GENERICS;035878026;CEFTRIAXONE DISODICO;"""500 MG/2 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 1 FLACONCINO POLVERE + 1 FIALA SOLVENTE DA 2 ML";MYLAN S.P.A.;15/10/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD04
CEFTRIAXONE RATIOPHARM;035802026;CEFTRIAXONE DISODICO;"""500 MG/2 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 1 FLACONE + 1 FIALA SOLVENTE DA 2 ML";RATIOPHARM GMBH;01/02/2019;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD04
CEFTRIAXONE RATIOPHARM;035802038;CEFTRIAXONE DISODICO;"""1 G/3,5 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 1 FLACONE + 1 FIALA SOLVENTE DA 3,5 ML";RATIOPHARM GMBH;04/03/2024;29/11/2024;Sì;Elevata richiesta (carenza relativa solo al canale ospedaliero);Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD04
CEFTRIAXONE ZENTIVA;035887037;CEFTRIAXONE DISODICO;"""1 G/3,5 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 1 FLACONE POLVERE + 1 FIALA SOLVENTE DA 3,5 ML";ZENTIVA ITALIA S.R.L.;28/02/2023;;Sì;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD04
CEFUROXIMA EG;026917031;CEFUROXIMA;"""500 MG COMPRESSE RIVESTITE CON FILM"" 6 COMPRESSE";EG S.P.A.;14/04/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DC02
CEFUROXIMA K24 PHARMACEUTICALS;033447044;CEFUROXIMA SODICA;"""1,5 G POLVERE PER SOLUZIONE PER INFUSIONE "" 1 FLACONE";K24 PHARMACEUTICALS S.R.L.;24/02/2016;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DC02
CEFUROXIMA K24 PHARMACEUTICALS;033447069;CEFUROXIMA SODICA;"""1,5 G POLVERE PER SOLUZIONE PER INFUSIONE "" 100 FLACONI";K24 PHARMACEUTICALS S.R.L.;24/02/2016;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DC02
CEFUROXIMA K24 PHARMACEUTICALS;033447032;CEFUROXIMA SODICA;"""750 MG POLVERE PER SOLUZIONE INIETTABILE"" 100 FLACONI";K24 PHARMACEUTICALS S.R.L.;24/02/2016;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DC02
CEFUROXIMA K24 PHARMACEUTICALS;033447057;CEFUROXIMA SODICA;"""1,5 G POLVERE PER SOLUZIONE PER INFUSIONE "" 50 FLACONI";K24 PHARMACEUTICALS S.R.L.;24/02/2016;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DC02
CEFUROXIMA K24 PHARMACEUTICALS;033447020;CEFUROXIMA SODICA;"""750 MG POLVERE PER SOLUZIONE INIETTABILE"" 50 FLACONI";K24 PHARMACEUTICALS S.R.L.;07/10/2024;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J01DC02
CEFUROXIMA SANDOZ;037732082;ACETOSSIETILCEFUROXIMA;"""250 MG COMPRESSE RIVESTITE"" 12 COMPRESSE IN BLISTER AL/AL";SANDOZ S.P.A.;12/10/2023;;Sì;Cessata commercializzazione definitiva;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;J01DC02
CELECOXIB MYLAN;042533125;CELECOXIB;""" 200 MG CAPSULE RIGIDE "" 20 CAPSULE IN BLISTER ACLAR/PVC";MYLAN S.P.A.;01/02/2026;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M01AH01
CELECOXIB TEVA;040512220;CELECOXIB;"""200 MG CAPSULE RIGIDE"" 20 CAPSULE IN BLISTER AL/AL";TEVA ITALIA S.R.L.;14/11/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M01AH01
CELECOXIB ZENTIVA;042258095;CELECOXIB;"""200 MG CAPSULE RIGIDE"" 20 CAPSULE IN BLISTER PVC/PVDC/AL";ZENTIVA ITALIA S.R.L.;31/08/2022;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M01AH01
CELSENTRI;038138121;MARAVIROC;75 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - FLACONE (HDPE/ALU) - 120 COMPRESSE;VIIV HEALTHCARE BV;01/12/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;J05AX09
